+-----+----------------------------------------------------+------------+------------+-------------+--------+----------------+------------+-----------+-----------------+------------------+-----------------------+----------------+----------------+---------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns   | end_ns     | duration_ns | stream | category       | grid       | block     | regs_per_thread | shared_mem_bytes | comm_algorithm        | comm_size_hint | transfer_bytes | transfer_kind | full_name                                                                                                                                                                                                |
| 55  | finalizeKernel                                     | 4479974532 | 4479977476 | 2944        | 3488   | compute_kernel | (28,1,1)   | (256,1,1) | 32              | 0                |                       |                |                |               | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)                                                                 |
| 56  | vectorized_elementwise_kernel                      | 4479979908 | 4479981380 | 1472        | 7      | compute_kernel | (7,1,1)    | (128,1,1) | 40              | 0                |                       |                |                |               | void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)                                                    |
| 57  | cross_device_reduce_1stage                         | 4479981412 | 4479991012 | 9600        | 7      | communication  | (2,1,1)    | (512,1,1) | 68              | 0                | AllReduce_custom_symm | 16             |                |               | void sglang::cross_device_reduce_1stage<__nv_bfloat16, (int)8>(sglang::RankData *, sglang::RankSignals, sglang::Signal *, T1 *, int, int)                                                                |
| 58  | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 4479990596 | 4479993604 | 3008        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 104             | 28688            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0            |
| 59  | fused_a_gemm_kernel                                | 4479993188 | 4480000580 | 7392        | 7      | compute_kernel | (132,1,1)  | (256,1,1) | 48              | 197632           |                       |                |                |               | void fused_a_gemm_kernel<(int)1, (int)2112, (int)7168, (int)16, (int)8, (int)256, (int)16>(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int)                                           |
| 60  | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 4479998404 | 4480002436 | 4032        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 119             | 12304            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o153615361_tensorptrbf16gmemalign16o15361_tensorptrbf16gmemalign128o153615361___True_4__0            |
| 61  | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 4480000612 | 4480002180 | 1568        | 3488   | compute_kernel | (1,1,1)    | (128,1,1) | 32              | 4112             |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o5125121_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign128o5125121___True_4_512_0              |
| 62  | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 4480002084 | 4480007652 | 5568        | 7      | compute_kernel | (96,1,1)   | (256,1,1) | 255             | 172552           |                       |                |                |               | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 63  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 4480005988 | 4480009636 | 3648        | 7      | compute_kernel | (64,1,1)   | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 64  | RopeQuantizeKernel                                 | 4480009508 | 4480011748 | 2240        | 7      | compute_kernel | (1,81,1)   | (4,32,1)  | 43              | 0                |                       |                |                |               | void flashinfer::RopeQuantizeKernel<(bool)1, (unsigned int)16, (unsigned int)1, __nv_bfloat16, long, __nv_fp8_e4m3>(T4 *, T4 *, T4 *, T4 *, T6 *, T6 *, T6 *, T6 *, float *, T5 *, unsigned int, unsi... |
| 65  | set_mla_kv_buffer_kernel                           | 4480011620 | 4480012996 | 1376        | 7      | compute_kernel | (1,5,1)    | (128,1,1) | 16              | 0                |                       |                |                |               | set_mla_kv_buffer_kernel                                                                                                                                                                                 |
| 66  | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 4480012612 | 4480022500 | 9888        | 7      | compute_kernel | (74,2,1)   | (512,1,1) | 128             | 161456           |                       |                |                |               | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 67  | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 4480021604 | 4480025412 | 3808        | 7      | compute_kernel | (128,1,1)  | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 68  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 4480023844 | 4480029924 | 6080        | 7      | compute_kernel | (112,1,1)  | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 69  | cross_device_reduce_1stage                         | 4480029988 | 4480037796 | 7808        | 7      | communication  | (2,1,1)    | (512,1,1) | 68              | 0                | AllReduce_custom_symm | 16             |                |               | void sglang::cross_device_reduce_1stage<__nv_bfloat16, (int)8>(sglang::RankData *, sglang::RankSignals, sglang::Signal *, T1 *, int, int)                                                                |
| 70  | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 4480037412 | 4480040356 | 2944        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 104             | 28688            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0            |
